order_date,region,category,product,customer_type,quantity,unit_price,discount,revenue,salesperson
2025-07-22,South,Electronics,Webcam,New,1,91.34,0.05,86.77,Morgan
2025-07-02,West,Accessories,Phone Stand,New,1,29.61,0.1,26.65,Jamie
2025-01-19,East,Accessories,USB Cable,Returning,1,12.75,0.05,12.11,Alex
2025-10-17,North,Office,Whiteboard,Returning,3,69.72,0.05,198.7,
2025-12-07,North,Electronics,Monitor,Returning,1,219.32,0.15,186.42,Alex
2025-06-18,East,Electronics,Keyboard,Returning,4,59.4,0.15,201.96,Jamie
2025-04-02,East,Home,Coffee Maker,New,4,126.24,0.1,454.46,Sam
2025-11-28,East,Office,Desk Chair,New,4,180.64,0.0,722.56,Jamie
2025-07-28,North,Accessories,USB Cable,New,1,13.04,0.2,10.43,Alex
2025-10-26,North,Office,Whiteboard,Returning,1,70.23,0.0,70.23,Taylor
2025-12-05,North,Office,Stapler,New,1,14.91,0.1,13.42,Taylor
2025-05-08,North,Accessories,Laptop Sleeve,New,1,35.13,0.2,28.1,Jamie
2025-04-03,North,Electronics,Webcam,New,3,89.47,0.15,228.15,Morgan
2025-03-29,East,Office,Desk Chair,Returning,2,179.72,0.0,359.44,Jamie
2025-12-03,North,Accessories,Mouse Pad,New,2,20.17,0.15,34.29,Alex
2025-11-16,South,Electronics,Monitor,New,4,218.27,0.05,829.43,Sam
2025-07-24,South,Office,Stapler,Returning,5,14.58,0.0,72.9,Jamie
2025-06-04,East,Home,Coffee Maker,Returning,4,132.68,0.1,477.65,Jamie
2025-10-15,South,Home,Air Purifier,New,2,157.15,0.15,267.16,Morgan
2025-08-03,North,Office,Stapler,New,5,15.18,0.05,72.1,Jamie
2025-11-17,West,Home,Desk Lamp,New,2,39.62,0.0,79.24,Taylor
2025-09-02,West,Electronics,Keyboard,Returning,3,60.68,0.15,154.73,Taylor
2025-03-27,West,Accessories,Mouse Pad,Returning,2,19.99,0.1,35.98,Sam
2025-07-18,South,Electronics,Webcam,Returning,1,88.64,0.0,88.64,Jamie
2025-02-05,West,Electronics,Monitor,Returning,2,220.0,0.2,352.0,Jamie
2025-02-21,West,Accessories,Mouse Pad,New,4,20.24,0.15,68.82,Jamie
2025-09-23,West,Office,Desk Chair,Returning,2,180.81,0.05,343.54,Taylor
2025-02-04,South,Office,Stapler,New,1,14.96,0.0,14.96,Morgan
2025-02-24,East,Electronics,Monitor,New,1,218.69,,185.89,Morgan
2025-09-16,East,Accessories,Mouse Pad,New,2,20.54,0.1,36.97,Alex
2025-01-31,East,Electronics,Webcam,New,3,90.48,0.05,257.87,Alex
2025-12-02,West,Electronics,Webcam,New,3,90.93,0.15,231.87,Jamie
2025-08-16,West,Accessories,USB Cable,Returning,3,13.02,0.0,39.06,Alex
2025-03-03,East,Accessories,Phone Stand,New,1,29.46,0.1,26.51,Sam
2025-02-20,West,Electronics,Keyboard,Returning,1,59.64,0.0,59.64,Alex
2025-04-11,West,Electronics,Monitor,Returning,1,219.85,0.0,219.85,Alex
2025-01-14,West,Accessories,Phone Stand,New,2,30.02,0.05,57.04,Taylor
2025-05-13,West,Home,Air Purifier,Returning,2,159.65,0.05,303.33,Sam
2025-05-26,West,Electronics,Headphones,Returning,3,78.97,0.0,236.91,Sam
2025-10-18,West,Home,Desk Lamp,New,2,40.47,0.05,76.89,Taylor
2025-03-01,North,Electronics,Webcam,New,1,87.9,0.15,74.72,Morgan
2025-09-24,South,Home,Desk Lamp,Returning,2,38.5,0.05,73.15,Taylor
2025-12-26,East,Electronics,Headphones,Returning,1,81.9,0.05,77.81,Jamie
2025-11-28,South,Home,Storage Box,Returning,5,25.58,0.05,121.5,Sam
2025-10-02,South,Office,Whiteboard,Returning,3,68.88,0.0,206.64,Morgan
2025-11-11,South,Home,Desk Lamp,Returning,5,40.05,0.05,190.24,Sam
2025-03-04,North,Accessories,Laptop Sleeve,Returning,1,34.45,0.0,34.45,Alex
2025-12-10,East,Accessories,Phone Stand,Returning,1,30.12,0.1,27.11,Jamie
2025-09-20,South,Electronics,Keyboard,New,3,60.93,0.0,182.79,Sam
2025-10-09,West,Electronics,Keyboard,Returning,2,60.59,0.15,103.0,Taylor
2025-01-10,North,Office,Notebook,Returning,2,9.03,0.0,18.06,Jamie
2025-04-20,West,Office,Notebook,New,1,8.71,0.15,7.4,Alex
2025-10-27,East,Accessories,USB Cable,Returning,5,13.04,0.0,65.2,Taylor
2025-11-04,North,Office,Stapler,Returning,2,14.89,0.0,29.78,Alex
2025-01-17,South,Home,Storage Box,Returning,4,25.01,0.1,90.04,Taylor
2025-05-06,East,Accessories,Laptop Sleeve,New,5,34.38,0.0,171.9,Morgan
2025-04-12,South,Electronics,Keyboard,New,2,59.24,0.0,118.48,Jamie
2025-02-28,South,Home,Storage Box,Returning,2,25.15,0.0,50.3,Morgan
2025-12-08,West,Home,Coffee Maker,Returning,1,130.48,0.05,123.96,Jamie
2025-11-07,East,Office,Whiteboard,New,5,70.6,0.0,353.0,Morgan
2025-07-13,South,Home,Storage Box,Returning,4,24.61,0.05,93.52,Jamie
2025-12-03,North,Electronics,Monitor,New,1,221.56,0.0,221.56,Morgan
2025-01-22,South,Home,Coffee Maker,New,2,127.73,0.05,242.69,Alex
2025-02-20,West,Accessories,Laptop Sleeve,Returning,2,34.86,0.0,69.72,Alex
